A 38, 18, 5, 35, 16, 3, 32, 14,2

B 37, 15, 6 , 35, 12,4, 32,8, 3

C 28,15, 4 , 24，13,2, 22, 10, 1

D 25, 18, 8, 20, 16, 5, 18, 14, 3

E 25, 12, 23, 20, 8, 20, 15,5, 18

F 13, 13, 12, 9, 10, 9, 7,8, 7

G 14, 15, 10 , 10, 12, 8, 8, 10,8

H 30, 11,21 , 27, 11, 21, 25, 10, 20

I 13, 16, 9 , 10, 16, 8, 9, 16, 8

J 12, 17, 9 , 10, 16, 8, 10, 16, 8

K 3,6, 3, 1,4, 3, 1,3, 3

L 9, 10, 3, 7,8,3, 7,6, 3

M 11,4,3, 2,2,3, 5,2, 3

N 10, 6,3, 7,6, 3, 5,5, 3

O 18, 18, 17, 16,17, 17, 14, 14, 17

P 8,8, 3, 5,6,3, 3,5, 3

Q 5,6, 3, 3,5, 3, 1,4, 3

R 14, 5, 0, 12, 2, 0, 9,2, 0

S 6,4, 0, 4,2, 0, 2,2, 0

T 16, 4, 0, 12, 3,0, 10, 3, 0

U 15, 0, 0, 12,0, 0, 9,0, 0
